date,weekday,strangle_width,entry_time,exit_time,holding_minutes,qqq_open,qqq_close,qqq_high,qqq_low,qqq_range,qqq_range_pct,qqq_move,qqq_move_pct,call_strike,put_strike,call_entry,put_entry,straddle_cost,call_exit,put_exit,straddle_exit,straddle_pnl,iv_estimate,hedge_count,max_stock_position,transaction_costs,daily_pnl,oscillation_ratio,trend_ratio,return_autocorr,realized_vol_intraday,total_path_length
2026-03-20,Friday,2,10:30,14:30,61,589.61,586.55,590.46,585.45,5.01,0.85,-3.06,-0.519,594,590,0.04,1.2,123.71,0.0,3.47,347.44,223.73,0.25,2,85,1.41,26.7,3.69,0.6108,0.0275,21.37,18.49
2026-03-25,Wednesday,2,10:30,14:30,61,589.7,590.17,591.17,587.01,4.17,0.706,0.47,0.081,592,588,0.24,0.36,60.55,0.18,0.12,30.37,-30.19,0.25,3,48,1.04,61.61,4.87,0.114,-0.0975,22.09,20.28
2026-03-31,Tuesday,2,10:30,14:30,59,565.13,568.67,568.82,564.48,4.34,0.768,3.54,0.626,565,561,1.02,0.04,106.06,3.69,0.0,369.0,262.94,0.25,2,90,1.45,55.81,4.64,0.8157,-0.228,24.68,20.14
2026-04-09,Thursday,2,10:30,14:30,61,605.8,603.43,606.5,603.24,3.26,0.538,-2.37,-0.391,606,602,0.93,0.08,100.25,0.09,0.27,35.93,-64.32,0.25,2,40,0.69,0.25,4.15,0.727,-0.059,15.25,13.54
2026-03-20,Friday,2,10:30,14:00,31,589.61,586.15,590.46,586.15,4.31,0.731,-3.46,-0.587,594,590,0.04,1.2,123.71,0.0,3.88,388.28,264.57,0.25,2,85,1.41,33.54,2.46,0.8028,-0.035,24.09,10.61
2026-03-25,Wednesday,2,10:30,14:00,31,589.7,587.01,591.17,587.01,4.17,0.706,-2.69,-0.455,592,588,0.24,0.36,60.55,0.01,1.46,147.33,86.77,0.25,1,48,0.8,42.77,2.4,0.6447,0.2378,21.79,9.99
2026-03-31,Tuesday,2,10:30,14:00,31,565.13,568.82,568.82,564.48,4.34,0.768,3.69,0.653,565,561,1.02,0.04,106.06,3.86,0.0,385.63,279.57,0.25,2,90,1.45,58.94,3.04,0.8502,-0.2629,29.21,13.19
2026-04-09,Thursday,2,10:30,14:00,31,605.8,604.46,606.5,604.37,2.13,0.352,-1.34,-0.221,606,602,0.93,0.08,100.25,0.34,0.16,50.44,-49.81,0.25,2,40,0.69,5.5,3.52,0.6291,-0.0326,17.07,7.49
2026-03-20,Friday,3,09:31,15:55,115,589.61,586.91,590.46,585.08,5.38,0.912,-2.7,-0.458,595,589,0.01,0.71,72.88,0.0,2.09,208.98,136.1,0.25,2,73,1.22,4.37,6.76,0.5019,-0.1227,22.0,36.36
2026-03-25,Wednesday,3,09:31,15:55,146,589.7,587.73,591.17,585.75,5.42,0.92,-1.97,-0.333,593,587,0.11,0.17,28.33,0.0,0.01,1.02,-27.31,0.25,7,72,2.35,186.34,7.3,0.3622,0.049,19.31,39.59
