date,weekday,target_delta,call_strike,put_strike,call_symbol,put_symbol,entry_call,entry_put,entry_cost,exit_call,exit_put,option_pnl,hedge_count,transaction_costs,daily_pnl,first_third_pnl,mid_third_pnl,last_third_pnl,bars,time_range,qqq_open,qqq_close,qqq_range,hedge_threshold
2025-06-18,Wednesday,0.25,534,529,QQQ250618C00534000,QQQ250618P00529000,0.47,1.82,229.0,0.55,1.09,-65.0,97,0.0,-15.17,-30.84,1.1,14.57,151,13:30-16:00,529.83,530.93,3.84,1
2025-06-20,Friday,0.25,531,525,QQQ250620C00531000,QQQ250620P00525000,2.77,0.23,300.0,0.18,0.77,-205.0,119,0.0,-12.1,-50.04,70.61,-32.67,151,13:30-16:00,532.52,526.85,8.1,1
2025-06-23,Monday,0.25,530,525,QQQ250623C00530000,QQQ250623P00525000,0.31,1.29,160.0,0.46,0.35,-79.0,114,0.0,-1.83,7.03,-14.56,5.7,151,13:30-16:00,526.29,528.4,5.41,1
2025-06-24,Tuesday,0.25,541,535,QQQ250624C00541000,QQQ250624P00535000,0.16,0.94,110.0,0.14,0.19,-77.0,86,0.0,-27.41,-20.0,-5.84,-1.57,151,13:30-16:00,536.7,538.69,2.74,1
2025-06-25,Wednesday,0.25,544,538,QQQ250625C00544000,QQQ250625P00538000,0.6,0.23,83.0,0.11,0.24,-48.0,99,0.0,-10.58,-1.0,-8.26,-1.32,151,13:30-16:00,542.48,540.91,2.83,1
2025-06-26,Thursday,0.25,546,540,QQQ250626C00546000,QQQ250626P00540000,0.28,0.33,61.0,0.33,0.1,-18.0,97,0.0,-6.82,-0.69,-6.04,-0.09,151,13:30-16:00,543.45,544.85,3.26,1
2025-06-27,Friday,0.25,551,545,QQQ250627C00551000,QQQ250627P00545000,0.14,0.53,67.0,0.19,0.08,-40.0,99,0.0,-10.95,-2.82,-1.69,-6.44,150,13:30-16:00,547.41,549.43,2.79,1
2025-06-30,Monday,0.25,555,549,QQQ250630C00555000,QQQ250630P00549000,0.19,0.7,89.0,0.05,0.47,-37.0,89,0.0,-30.03,-8.86,-10.23,-10.94,150,13:30-16:00,551.16,550.64,1.66,1
2025-07-01,Tuesday,0.25,553,547,QQQ250701C00553000,QQQ250701P00547000,0.27,0.56,83.0,0.02,1.64,83.0,113,0.0,12.88,-29.05,17.78,24.15,145,13:30-15:58,549.77,546.06,5.8,1
2025-07-02,Wednesday,0.25,551,545,QQQ250702C00551000,QQQ250702P00545000,0.16,0.98,114.0,0.49,0.1,-55.0,94,0.0,-21.03,-30.26,17.71,-8.48,150,13:30-16:00,546.39,550.2,4.44,1
2025-07-03,Thursday,0.25,555,549,QQQ250703C00555000,QQQ250703P00549000,0.64,0.12,76.0,2.03,0.02,129.0,87,0.0,-11.54,5.31,-20.62,3.77,129,13:30-16:00,554.09,556.94,3.73,1
2025-07-07,Monday,0.25,556,550,QQQ250707C00556000,QQQ250707P00550000,0.59,0.3,89.0,0.15,0.16,-58.0,95,0.0,-16.09,-9.06,0.73,-7.76,150,13:30-16:00,554.16,553.49,2.05,1
2025-07-08,Tuesday,0.25,557,551,QQQ250708C00557000,QQQ250708P00551000,0.13,0.56,69.0,0.03,0.36,-30.0,97,0.0,-5.43,-12.11,13.21,-6.53,144,13:30-16:00,553.32,552.61,2.31,1
2025-07-09,Wednesday,0.25,557,550,QQQ250709C00557000,QQQ250709P00550000,0.43,0.15,58.0,0.13,0.14,-31.0,96,0.0,17.12,0.77,19.75,-3.4,151,13:30-16:00,555.08,554.0,4.27,1
2025-07-10,Thursday,0.25,559,552,QQQ250710C00559000,QQQ250710P00552000,0.49,0.19,68.0,0.05,0.13,-50.0,84,0.0,-8.71,-0.55,-6.35,-1.81,148,13:30-16:00,557.06,555.54,4.02,1
2025-07-11,Friday,0.25,556,550,QQQ250711C00556000,QQQ250711P00550000,0.59,0.43,102.0,0.52,0.1,-40.0,107,0.0,-30.45,-25.18,-11.0,5.73,151,13:30-16:00,553.92,555.13,3.08,1
2025-07-14,Monday,0.25,556,550,QQQ250714C00556000,QQQ250714P00550000,0.46,0.24,70.0,0.51,0.06,-13.0,107,0.0,2.42,6.04,4.59,-8.21,151,13:30-16:00,554.21,555.45,3.82,1
2025-07-15,Tuesday,0.25,563,557,QQQ250715C00563000,QQQ250715P00557000,0.34,0.34,68.0,0.04,0.23,-41.0,103,0.0,-7.07,-2.66,1.08,-5.49,148,13:30-16:00,560.42,559.34,2.57,1
2025-07-16,Wednesday,0.25,558,552,QQQ250716C00558000,QQQ250716P00552000,0.9,0.16,106.0,0.15,0.25,-66.0,120,0.0,114.95,-3.85,18.02,100.78,151,13:30-16:00,557.12,555.21,5.25,1
2025-07-17,Thursday,0.25,562,556,QQQ250717C00562000,QQQ250717P00556000,0.17,0.6,77.0,0.59,0.09,-9.0,97,0.0,-8.16,-10.53,8.21,-5.84,151,13:30-16:00,558.12,561.51,4.21,1
2025-07-18,Friday,0.25,566,560,QQQ250718C00566000,QQQ250718P00560000,0.2,0.52,72.0,0.04,0.24,-44.0,105,0.0,-30.17,-24.73,2.8,-8.24,150,13:30-16:00,562.54,561.78,2.71,1
2025-07-21,Monday,0.25,566,560,QQQ250721C00566000,QQQ250721P00560000,0.12,0.33,45.0,0.18,0.05,-22.0,104,0.0,-7.1,8.26,-8.49,-6.87,147,13:30-16:00,562.7,564.92,3.29,1
2025-07-22,Tuesday,0.25,566,560,QQQ250722C00566000,QQQ250722P00560000,0.29,0.25,54.0,0.02,0.57,5.0,101,0.0,7.88,21.49,-8.14,-5.47,143,13:30-16:00,563.66,560.78,4.83,1
2025-07-23,Wednesday,0.25,566,559,QQQ250723C00566000,QQQ250723P00559000,0.22,0.79,101.0,0.11,0.29,-61.0,78,0.0,-10.61,-13.23,-18.49,21.11,151,13:30-16:00,561.42,561.96,3.13,1
2025-07-24,Thursday,0.25,569,563,QQQ250724C00569000,QQQ250724P00563000,0.23,0.5,73.0,0.03,0.19,-51.0,78,0.0,-20.43,-1.32,-16.82,-2.29,150,13:30-16:00,565.52,565.19,2.33,1
2025-07-25,Friday,0.25,569,562,QQQ250725C00569000,QQQ250725P00562000,0.07,0.39,46.0,0.04,0.06,-36.0,61,0.0,-16.72,-11.34,-1.8,-3.58,148,13:30-16:00,564.85,566.46,2.19,1
2025-07-28,Monday,0.25,573,566,QQQ250728C00573000,QQQ250728P00566000,0.06,0.49,55.0,0.01,0.15,-39.0,62,0.0,-16.68,-15.76,1.18,-2.1,116,13:30-16:00,568.08,568.05,2.06,1
2025-07-29,Tuesday,0.25,574,567,QQQ250729C00574000,QQQ250729P00567000,0.16,0.12,28.0,0.02,0.29,3.0,106,0.0,15.51,-0.91,-1.83,18.25,146,13:30-16:00,571.37,568.67,4.98,1
2025-07-30,Wednesday,0.25,571,565,QQQ250730C00571000,QQQ250730P00565000,0.53,0.92,145.0,0.68,0.38,-39.0,94,0.0,-23.47,-19.66,3.56,-7.37,145,13:30-16:00,567.75,569.03,1.96,1
2025-07-31,Thursday,0.25,579,572,QQQ250731C00579000,QQQ250731P00572000,0.16,1.3,146.0,0.02,2.46,102.0,85,0.0,5.85,-18.25,10.32,13.78,124,13:30-15:56,573.38,570.33,5.17,1
2025-08-01,Friday,0.25,562,556,QQQ250801C00562000,QQQ250801P00556000,0.64,1.52,216.0,0.16,0.97,-103.0,120,0.0,27.66,33.15,-8.32,2.83,151,13:30-16:00,557.7,557.09,6.56,1
2025-08-04,Monday,0.25,561,555,QQQ250804C00561000,QQQ250804P00555000,0.82,0.52,134.0,2.49,0.07,122.0,107,0.0,-19.93,-1.82,-12.29,-5.82,147,13:30-16:00,559.2,563.15,3.95,1
2025-08-05,Tuesday,0.25,569,562,QQQ250805C00569000,QQQ250805P00562000,0.19,0.78,97.0,0.01,1.72,76.0,126,0.0,8.0,-3.71,7.06,4.65,145,13:30-16:00,564.36,560.87,6.68,1
2025-08-06,Wednesday,0.25,564,557,QQQ250806C00564000,QQQ250806P00557000,0.41,0.51,92.0,2.11,0.04,123.0,123,0.0,50.34,21.91,17.78,10.65,150,13:30-16:00,561.04,565.72,5.43,1
2025-08-07,Thursday,0.25,574,568,QQQ250807C00574000,QQQ250807P00568000,0.43,0.54,97.0,0.05,0.76,-16.0,129,0.0,46.85,27.17,14.24,5.44,151,13:30-16:00,571.36,569.12,4.23,1
2025-08-08,Friday,0.25,574,568,QQQ250808C00574000,QQQ250808P00568000,0.34,0.54,88.0,0.73,0.1,-5.0,114,0.0,-2.86,2.91,-8.08,2.31,150,13:30-16:00,570.95,573.69,3.66,1
2025-08-11,Monday,0.25,578,572,QQQ250811C00578000,QQQ250811P00572000,0.26,0.55,81.0,0.09,0.09,-63.0,96,0.0,-35.75,-25.36,-0.65,-9.74,151,13:30-16:00,574.81,575.78,1.98,1
2025-08-12,Tuesday,0.25,576,570,QQQ250812C00576000,QQQ250812P00570000,1.16,0.29,145.0,2.32,0.05,92.0,108,0.0,40.26,35.46,-11.21,16.01,147,13:30-16:00,575.3,578.04,5.77,1
2025-08-13,Wednesday,0.25,585,578,QQQ250813C00585000,QQQ250813P00578000,0.28,0.25,53.0,0.03,0.37,-13.0,99,0.0,-6.06,-1.54,1.19,-5.71,150,13:30-16:00,582.43,579.87,3.94,1
2025-08-14,Thursday,0.25,584,577,QQQ250814C00584000,QQQ250814P00577000,0.1,1.27,137.0,0.03,0.28,-106.0,87,0.0,-16.4,-15.88,-5.81,5.29,151,13:30-16:00,578.04,579.99,3.75,1
2025-08-15,Friday,0.25,583,576,QQQ250815C00583000,QQQ250815P00576000,0.25,0.77,102.0,0.02,0.66,-34.0,105,0.0,-20.1,-23.55,-0.91,4.36,139,13:30-16:00,578.65,576.85,3.31,1
2025-08-18,Monday,0.25,579,573,QQQ250818C00579000,QQQ250818P00573000,0.62,0.3,92.0,0.06,0.13,-73.0,101,0.0,-27.33,-28.17,3.47,-2.63,150,13:30-16:00,577.22,576.01,2.3,1
2025-08-19,Tuesday,0.25,581,574,QQQ250819C00581000,QQQ250819P00574000,0.05,0.48,53.0,0.01,2.41,189.0,99,0.0,41.93,4.9,25.68,11.35,117,13:30-16:00,576.2,571.75,5.7,1
2025-08-20,Wednesday,0.25,572,565,QQQ250820C00572000,QQQ250820P00565000,0.25,0.97,122.0,0.02,3.22,202.0,104,0.0,26.39,51.88,-14.89,-10.6,137,13:30-15:58,567.33,562.07,8.72,1
2025-08-21,Thursday,0.25,569,563,QQQ250821C00569000,QQQ250821P00563000,0.2,2.06,226.0,0.04,1.61,-61.0,115,0.0,18.52,10.72,-8.17,15.97,151,13:30-16:00,562.91,562.65,3.96,1
2025-08-22,Friday,0.25,567,561,QQQ250822C00567000,QQQ250822P00561000,1.32,2.14,346.0,5.27,0.06,187.0,92,0.0,82.91,112.12,-36.61,7.4,124,13:30-16:00,563.36,572.06,10.57,1
2025-08-25,Monday,0.25,574,567,QQQ250825C00574000,QQQ250825P00567000,0.27,0.45,72.0,0.33,0.06,-33.0,100,0.0,-21.14,-15.47,-4.06,-1.61,148,13:30-16:00,570.42,573.05,3.94,1
2025-08-26,Tuesday,0.25,573,567,QQQ250826C00573000,QQQ250826P00567000,0.3,0.61,91.0,0.15,0.1,-66.0,103,0.0,-19.18,-15.1,-0.85,-3.23,149,13:30-16:00,569.81,571.16,2.7,1
2025-08-27,Wednesday,0.25,576,570,QQQ250827C00576000,QQQ250827P00570000,0.5,1.52,202.0,0.66,0.61,-75.0,97,0.0,-33.56,-11.2,-2.43,-19.93,151,13:30-16:00,571.44,573.49,3.12,1
2025-08-28,Thursday,0.25,577,570,QQQ250828C00577000,QQQ250828P00570000,1.07,0.32,139.0,0.3,0.1,-99.0,122,0.0,6.92,17.77,-9.45,-1.4,147,13:30-16:00,575.68,575.16,4.11,1
2025-08-29,Friday,0.25,578,572,QQQ250829C00578000,QQQ250829P00572000,0.34,0.68,102.0,0.03,2.73,174.0,97,0.0,4.53,40.72,-1.48,-34.71,135,13:30-16:00,574.59,569.47,5.69,1
2025-09-02,Tuesday,0.25,570,564,QQQ250902C00570000,QQQ250902P00564000,0.05,4.48,453.0,0.03,3.9,-60.0,110,0.0,-0.08,-24.53,8.37,16.08,150,13:30-16:00,560.25,560.36,5.66,1
2025-09-03,Wednesday,0.25,573,566,QQQ250903C00573000,QQQ250903P00566000,0.24,0.7,94.0,0.05,0.26,-63.0,105,0.0,-2.19,-3.85,-5.14,6.8,151,13:30-16:00,568.99,569.05,3.59,1
2025-09-04,Thursday,0.25,575,568,QQQ250904C00575000,QQQ250904P00568000,0.23,0.89,112.0,0.14,0.24,-74.0,102,0.0,-3.44,-6.2,-1.0,3.76,151,13:30-16:00,570.47,572.04,3.37,1
2025-09-05,Friday,0.25,582,575,QQQ250905C00582000,QQQ250905P00575000,0.71,0.41,112.0,0.03,1.51,42.0,124,0.0,58.1,23.19,58.78,-23.87,151,13:30-16:00,579.96,574.5,9.18,1
2025-09-08,Monday,0.25,581,575,QQQ250908C00581000,QQQ250908P00575000,0.3,0.43,73.0,0.4,0.06,-27.0,109,0.0,-6.83,-0.16,-8.87,2.2,150,13:30-16:00,578.45,580.22,2.34,1
2025-09-09,Tuesday,0.25,583,577,QQQ250909C00583000,QQQ250909P00577000,0.23,0.67,90.0,0.02,0.33,-55.0,98,0.0,-37.82,-26.59,-3.9,-7.33,145,13:30-16:00,579.46,578.42,2.81,1
2025-09-10,Wednesday,0.25,584,578,QQQ250910C00584000,QQQ250910P00578000,0.64,0.34,98.0,0.18,0.09,-71.0,107,0.0,-23.28,-17.86,0.37,-5.79,150,13:30-16:00,582.39,582.38,1.68,1
2025-09-11,Thursday,0.25,585,579,QQQ250911C00585000,QQQ250911P00579000,0.69,0.41,110.0,0.59,0.14,-37.0,107,0.0,-21.87,-15.46,0.4,-6.81,150,13:30-16:00,583.32,584.48,3.11,1
2025-09-12,Friday,0.25,588,581,QQQ250912C00588000,QQQ250912P00581000,0.22,0.29,51.0,0.09,0.06,-36.0,78,0.0,-26.12,-24.7,0.54,-1.96,149,13:30-15:59,585.19,586.23,2.51,1
2025-09-15,Monday,0.25,590,583,QQQ250915C00590000,QQQ250915P00583000,0.53,0.13,66.0,1.2,0.05,59.0,82,0.0,-15.21,-8.48,-3.92,-2.81,125,13:30-16:00,588.72,590.86,2.33,1
2025-09-17,Wednesday,0.25,595,588,QQQ250917C00595000,QQQ250917P00588000,0.71,1.1,181.0,0.49,2.53,121.0,78,0.0,66.92,20.97,45.07,0.88,151,13:30-16:00,591.35,588.22,3.14,1
2025-09-18,Thursday,0.25,599,593,QQQ250918C00599000,QQQ250918P00593000,0.2,1.13,133.0,0.09,0.22,-102.0,115,0.0,-25.23,-12.57,-9.18,-3.48,151,13:30-16:00,594.37,596.28,4.66,1
2025-09-19,Friday,0.25,600,593,QQQ250919C00600000,QQQ250919P00593000,0.49,0.46,95.0,0.09,0.09,-77.0,86,0.0,-57.69,-48.32,0.31,-9.68,151,13:30-16:00,597.32,597.54,2.27,1
2025-09-22,Monday,0.25,600,594,QQQ250922C00600000,QQQ250922P00594000,0.41,0.25,66.0,0.82,0.05,21.0,99,0.0,-21.73,-28.99,14.55,-7.29,136,13:30-16:00,598.09,600.31,2.62,1
2025-09-23,Tuesday,0.25,606,599,QQQ250923C00606000,QQQ250923P00599000,0.12,0.36,48.0,0.03,0.3,-15.0,75,0.0,-16.22,-12.4,-5.59,1.77,127,13:30-15:57,602.21,600.92,1.67,1
2025-09-24,Wednesday,0.25,604,597,QQQ250924C00604000,QQQ250924P00597000,0.06,0.67,73.0,0.02,2.79,208.0,85,0.0,0.22,-10.62,-5.68,16.52,113,13:30-16:00,599.17,594.53,4.64,1
2025-09-25,Thursday,0.25,599,592,QQQ250925C00599000,QQQ250925P00592000,0.05,2.08,213.0,0.05,0.31,-177.0,108,0.0,-2.74,5.7,-6.13,-2.31,149,13:30-16:00,591.36,594.85,6.45,1
2025-09-26,Friday,0.25,596,590,QQQ250926C00596000,QQQ250926P00590000,0.62,0.81,143.0,0.13,0.45,-85.0,119,0.0,17.66,16.05,7.35,-5.74,151,13:30-16:00,593.21,592.38,4.77,1
2025-09-29,Monday,0.25,603,597,QQQ250929C00603000,QQQ250929P00597000,0.17,0.67,84.0,0.03,0.25,-56.0,104,0.0,-31.59,-20.55,-10.81,-0.23,151,13:30-16:00,599.22,599.1,3.12,1
2025-09-30,Tuesday,0.25,602,595,QQQ250930C00602000,QQQ250930P00595000,0.23,0.62,85.0,0.05,0.23,-57.0,109,0.0,-12.66,-22.18,5.64,3.88,150,13:30-16:00,598.12,598.24,2.92,1
2025-10-01,Wednesday,0.25,600,594,QQQ251001C00600000,QQQ251001P00594000,0.36,0.78,114.0,1.77,0.06,69.0,102,0.0,-7.79,2.06,1.51,-11.36,146,13:30-16:00,596.77,601.43,4.83,1
2025-10-02,Thursday,0.25,609,602,QQQ251002C00609000,QQQ251002P00602000,0.32,0.26,58.0,0.04,0.22,-32.0,107,0.0,11.06,2.12,3.36,5.58,146,13:30-16:00,606.5,604.76,3.61,1
2025-10-03,Friday,0.25,611,604,QQQ251003C00611000,QQQ251003P00604000,0.06,0.66,72.0,0.02,0.13,-57.0,75,0.0,-23.13,-8.88,-9.87,-4.38,118,13:30-16:00,606.38,606.74,2.38,1
2025-10-06,Monday,0.25,610,603,QQQ251006C00610000,QQQ251006P00603000,0.43,0.26,69.0,0.14,0.06,-49.0,80,0.0,-18.43,-6.18,-10.36,-1.89,150,13:30-16:00,608.07,608.31,2.11,1
2025-10-07,Tuesday,0.25,611,605,QQQ251007C00611000,QQQ251007P00605000,0.34,0.29,63.0,0.02,1.4,79.0,111,0.0,40.19,-20.66,50.21,10.64,151,13:30-16:00,608.89,604.62,6.45,1
2025-10-08,Wednesday,0.25,609,602,QQQ251008C00609000,QQQ251008P00602000,0.23,0.42,65.0,0.99,0.05,39.0,104,0.0,-16.09,-4.86,-6.17,-5.06,139,13:30-16:00,605.67,609.46,4.01,1
2025-10-09,Thursday,0.25,615,608,QQQ251009C00615000,QQQ251009P00608000,0.14,0.41,55.0,0.02,0.26,-27.0,86,0.0,-19.58,-10.71,-5.31,-3.56,133,13:30-16:00,611.28,610.06,3.03,1
2025-10-10,Friday,0.25,615,608,QQQ251010C00615000,QQQ251010P00608000,0.2,0.48,68.0,0.01,8.59,792.0,88,0.0,163.45,-9.28,125.86,46.87,146,13:30-15:59,611.47,599.74,16.55,1
2025-10-13,Monday,0.25,604,597,QQQ251013C00604000,QQQ251013P00597000,0.6,1.45,205.0,0.26,0.38,-141.0,110,0.0,-38.61,-18.71,10.43,-30.33,150,13:30-16:00,599.57,601.1,4.3,1
2025-10-14,Tuesday,0.25,599,593,QQQ251014C00599000,QQQ251014P00593000,0.81,2.1,291.0,1.75,0.31,-85.0,114,0.0,-28.63,-28.82,-8.23,8.42,151,13:30-16:00,594.49,599.29,9.45,1
2025-10-15,Wednesday,0.25,606,599,QQQ251015C00606000,QQQ251015P00599000,0.75,0.83,158.0,0.47,0.58,-53.0,107,0.0,41.66,7.08,-16.86,51.44,151,13:30-16:00,603.41,602.96,5.45,1
2025-10-16,Thursday,0.25,608,602,QQQ251016C00608000,QQQ251016P00602000,1.07,1.1,217.0,0.33,1.82,-2.0,120,0.0,73.2,27.41,5.89,39.9,151,13:30-16:00,605.72,602.82,5.33,1
2025-10-17,Friday,0.25,596,590,QQQ251017C00596000,QQQ251017P00590000,4.08,1.2,528.0,5.9,0.22,84.0,107,0.0,-56.14,-17.28,19.81,-58.67,142,13:30-16:00,597.21,601.28,6.46,1
2025-10-20,Monday,0.25,610,603,QQQ251020C00610000,QQQ251020P00603000,1.09,0.62,171.0,2.5,0.12,91.0,95,0.0,-29.1,-48.93,8.05,11.78,142,13:30-16:00,608.48,611.92,3.91,1
2025-10-21,Tuesday,0.25,615,608,QQQ251021C00615000,QQQ251021P00608000,0.29,0.68,97.0,0.08,0.17,-72.0,94,0.0,-29.32,-26.7,0.85,-3.47,149,13:30-16:00,611.31,612.24,2.88,1
2025-10-22,Wednesday,0.25,614,607,QQQ251022C00614000,QQQ251022P00607000,0.26,1.01,127.0,0.03,1.58,34.0,107,0.0,-4.68,-35.31,13.98,16.65,148,13:30-16:00,609.67,606.54,6.44,1
2025-10-23,Thursday,0.25,609,602,QQQ251023C00609000,QQQ251023P00602000,0.48,1.06,154.0,1.12,0.13,-29.0,110,0.0,-32.6,-11.92,-12.8,-7.88,151,13:30-16:00,605.09,609.13,4.51,1
2025-10-24,Friday,0.25,618,611,QQQ251024C00618000,QQQ251024P00611000,0.54,0.59,113.0,0.67,0.14,-32.0,115,0.0,-24.35,-11.69,-9.58,-3.08,150,13:30-16:00,615.27,617.6,2.57,1
2025-10-27,Monday,0.25,628,621,QQQ251027C00628000,QQQ251027P00621000,0.31,0.46,77.0,0.13,0.14,-50.0,87,0.0,-28.53,-20.48,-2.07,-5.98,140,13:30-16:00,625.23,626.56,2.4,1
2025-10-28,Tuesday,0.25,632,625,QQQ251028C00632000,QQQ251028P00625000,0.9,0.34,124.0,0.33,0.13,-78.0,97,0.0,-43.48,-22.84,-5.7,-14.94,150,13:30-16:00,630.79,630.67,2.0,1
2025-10-29,Wednesday,0.25,639,631,QQQ251029C00639000,QQQ251029P00631000,1.38,1.26,264.0,1.36,1.66,38.0,76,0.0,54.39,32.05,7.11,15.23,151,13:30-16:00,635.66,634.86,2.21,1
2025-10-30,Thursday,0.25,639,632,QQQ251030C00639000,QQQ251030P00632000,0.41,3.39,380.0,0.06,3.93,19.0,96,0.0,-34.33,-20.5,-27.69,13.86,146,13:30-16:00,631.23,629.0,4.89,1
2025-10-31,Friday,0.25,638,631,QQQ251031C00638000,QQQ251031P00631000,0.34,1.08,142.0,0.02,2.24,84.0,97,0.0,-12.61,-9.35,-31.45,28.19,149,13:30-16:00,633.71,629.86,3.85,1
2025-11-03,Monday,0.25,637,630,QQQ251103C00637000,QQQ251103P00630000,1.02,0.47,149.0,0.1,1.12,-27.0,76,0.0,-3.25,0.54,11.8,-15.59,91,14:30-16:00,635.42,631.29,5.59,1
2025-11-04,Tuesday,0.25,627,620,QQQ251104C00627000,QQQ251104P00620000,0.87,1.32,219.0,0.69,0.36,-114.0,75,0.0,-48.02,-8.56,-31.05,-8.41,91,14:30-16:00,622.98,625.03,5.18,1
2025-11-05,Wednesday,0.25,621,614,QQQ251105C00621000,QQQ251105P00614000,1.45,0.84,229.0,2.52,0.15,38.0,75,0.0,-19.52,-25.32,-8.96,14.76,91,14:30-16:00,619.19,622.55,5.58,1
2025-11-06,Thursday,0.25,627,620,QQQ251106C00627000,QQQ251106P00620000,0.28,1.74,202.0,0.04,7.27,529.0,58,0.0,70.4,24.74,-9.4,55.06,90,14:30-16:00,621.26,613.29,8.86,1
2025-11-07,Friday,0.25,616,609,QQQ251107C00616000,QQQ251107P00609000,0.27,4.15,442.0,0.05,7.58,321.0,59,0.0,-40.05,-9.56,10.81,-41.3,86,14:30-15:59,606.81,601.42,6.31,1
2025-11-10,Monday,0.25,622,615,QQQ251110C00622000,QQQ251110P00615000,0.81,0.76,157.0,0.25,0.67,-65.0,66,0.0,-19.07,-39.26,-9.12,29.31,91,14:30-16:00,619.49,618.07,3.83,1
2025-11-11,Tuesday,0.25,625,618,QQQ251111C00625000,QQQ251111P00618000,0.37,0.81,118.0,0.05,1.13,-0.0,66,0.0,-27.63,-37.73,8.03,2.07,90,14:30-16:00,620.94,618.54,3.41,1
2025-11-12,Wednesday,0.25,629,622,QQQ251112C00629000,QQQ251112P00622000,0.2,1.02,122.0,0.03,3.32,213.0,58,0.0,28.75,25.85,8.64,-5.74,86,14:30-16:00,623.8,619.3,4.85,1
2025-11-13,Thursday,0.25,623,616,QQQ251113C00623000,QQQ251113P00616000,0.33,1.91,224.0,0.08,4.24,208.0,64,0.0,46.27,-10.87,4.64,52.5,91,14:30-16:00,617.07,612.45,6.55,1
2025-11-14,Friday,0.25,609,602,QQQ251114C00609000,QQQ251114P00602000,0.43,5.2,563.0,2.75,0.46,-242.0,72,0.0,-24.56,-24.09,35.04,-35.51,91,14:30-16:00,598.94,609.65,12.81,1
2025-11-17,Monday,0.25,618,611,QQQ251117C00618000,QQQ251117P00611000,0.08,6.58,666.0,0.06,3.6,-300.0,66,0.0,-46.97,-62.04,4.41,10.66,90,14:30-16:00,605.54,608.39,6.85,1
2025-11-18,Tuesday,0.25,605,598,QQQ251118C00605000,QQQ251118P00598000,1.1,2.33,343.0,0.21,5.76,254.0,77,0.0,192.93,111.53,34.64,46.76,90,14:30-16:00,600.01,593.61,8.48,1
